id,name,abbreviation
1,12NOTAS,12NOTAS
2,ABYMKDREAMS,ABYMKDREAMS
3,ACTIVOLUTION,ACTIVOLUTION
4,ACTUALIDAD-DERECHO-SANITARIO,ACTDERECHOSANI
5,ADROLL,ADROLL
6,ADSOCY,ADSOCY
7,ADVANCE-MEDIA,ADVANCE-MEDIA
8,AFILEAD,AFILEAD
9,AMAZON,AMAZON
10,AMAZON-UNIR,AMZ-UNIR
11,AMBIENTUM,AMBIENTUM
12,ANTEVENIO,ANTEVENIO
13,APPLE,APPLE
14,ARKEERO,ARKEERO
15,ATRESMEDIA,ATRESMEDIA
16,BABELIA,BABELIA
17,BEBEE,BEBEE
18,BENEFITHUB,BENEFITHUB
19,BING,BING
20,BING-NAT,BING-NAT
21,BLOG,BLOG
22,CADREON,CADREON
23,CARRERASYMAS,CARRERASYMAS
24,CENOPOSICIONES,CENOPOSICIONES
25,CIAR,CIAR
26,CINCODIAS,CINCODIAS
27,CONSALUD,CONSALUD
28,CORP-BENEFITS,CORP-BENEFITS
29,CUADERNOPEDAGOG,CUADERNOPEDAGOG
30,CURSOSYCARRERAS,CURSOSYCARRERAS
31,CURSOSYPOSTGRADOS,CURSOSYPOSTGRADOS
32,CYBEREOP,CYBEREOP
33,DATMEAN,DATMEAN
34,DELIDATAX,DELIDATAX
35,DIARIO EL UNIVERSAL,UNIVERSAL
36,DIARIOEDUCA,DIARIOEDUCA
37,DIRIGEHOY,DIRIGEHOY
38,DOCENZIA,DOCENZIA
39,DOCSITY,DOCSITY
40,DONDEESTUDIAR,DNES
41,DV360,DV360
42,DV360-Infojobs,DV360-INFOJOBS
43,DV360-labellium,DV360-LAB
44,DV360-SmartClip,DV360-SMARTCLIP
45,DV360-SPOTIFY,DV360-SPOTIFY
46,DV360-taboola,DV360-TABOOLA
47,DV360-Wallapop,DV360-WALLAPOP
48,DV360-WEMASS,DV360-WEMASS
49,DV360-WUOLAH,DV360-WUOLAH
50,EDICION MEDICA,EDMEDICA
51,EDUCAEDU,EDUCAEDU
52,ELCOMERCIO,ELCOMERCIO
53,ELDIARIO,ELDIARIO
54,ELECONOMISTA,ELECONOMISTA
55,EL-MUNDO,ELMUNDO
56,ELPAIS,ELPAIS
57,ELPAIS-SEM,ELPAIS-SEM
58,ELPERIODICO,ELPERIODICO
59,EMAGISTER,EMAGISTER
60,EMAILINGNETWORK,EMAILINGNETWORK
61,EMPLEOPUBLICO,EMPLEOPUBLICO
62,ESTUDIARADISTANCIA,ESTUDIARADISTANCIA
63,EXPONENTIAL,EXPONENTIAL
64,FACEBOOK,FB
65,FACTORHUMANO,FACTORHUMANO
66,FB-IG,FB-IG
67,FEEBBO-DIGITAL,FEEBBO-DIGITAL
68,FORMACION GENERCIAL,FORMGERENCIAL
69,FORMAZION,FORMAZION
70,Future Energy,FURTURE-ENERGY
71,GOOGLE-BUSQ,GOOGLE-BUS
72,GOOGLE-DGEN,GOOGLE-DGEN
73,GOOGLE-DISCOV,GOOGLE-DISCOV
74,GOOGLE-GDN,GOOGLE-GDN
75,GOOGLE-PERFMAX,GOOGLE-PMAX
76,GRUPOGEARD,GRUPOGEARD
77,HISPAVISTA,HISPAVISTA
78,HUBSPOT,HUBSPOT
79,HUFFPOST,HUFFPOST
80,IMFARMA,IMFARMA
81,IMPACTING,IMPACTING
82,INBOXLAB,INBOXLAB
83,INFARMACIA,INFARMACIA
84,INFINIA,INFINIA
85,INFOEMPLEO,INFOEMPLEO
86,INLAB,INLAB
87,INNOVA,INNOVA
88,INSPIRINGBENEFITS,INSPIRINGBENEFITS
89,INSTAGRAM,INSTAGRAM
90,INVIBES,INVIBES
91,IVOOX,IVOOX
92,KEYSTONE,KEYSTONE
93,LAHORA,LAHORA
94,LA-SER,LA-SER
95,LAVANGUARDIA,LAVANGUARDIA
96,LINKEDIN,LINKEDIN
97,LOQUEQUIERESAPRENDER,LOQUEQUIERESAPRENDER
98,LOS-40,LOS-40
99,LOVVIS,LOVVIS
100,MADTOROMEDIA,MADTOROMEDIA
101,MAESTRALIA,MAESTRALIA
102,MAGISNET,MAGISNET
103,MANU VELASCO,MANUVELASCO
104,MAPP,MAPP
105,MARKETEROS-LATAM,MARKETEROS-LATAM
106,MASTERMANIA,MASTERMANIA
107,METAPIC,METAPIC
108,Mix,Mix
109,MUNDOPOSGRADO,MUNDOPOSGRADO
110,NEXTIMIZE,NTMZ
111,NEXTPLAY,NEXTPLAY
112,OATH,OATH
113,OKDIARIO,OKDIARIO
114,OUTBRAIN,OUTBRAIN
115,OXIGENO,OXIGENO
116,PM FARMA,PMFARMA
117,PORTALMBA,PORTALMBA
118,PRENSAIBERICA,PRENSAIBERICA
119,PRIMICIASECU,PRIMICIASECU
120,PSICOLOGIAYMENTE,PSICOLOGIAYMENTE
121,PUROMARKETING,PUROMARKETING
122,PyM,PyM
123,QUANTCAST,QUANTCAST
124,RADIO-LATAMDIGIT,RADIO-LATAMDIGIT
125,RANKIA,RANKIA
126,REFORMA,REFORMA
127,RPP,RPP
128,RRHH-DIGITALES,RRHH-DIGITALES
129,SANTILLANA,SANTILLANA
130,SEEDTAG,STG
131,SFMC,SFMC
132,SFMC-WA,SFMC-WA
133,SMART4ADS,SMART4
134,SMARTCLIP,SMARTCLIP
135,SMOOTAI,SMOOTAI
136,SPOTIFY,SPOTIFY
137,STACKADAPT,STACKADAPT
138,STUDIOPLAZA,STUDIOPLAZA
139,TABOOLA,TABOOLA
140,TEADS,TEADS
141,TELEFONICA,TELEFONICA
142,TIKTOK,TIKTOK
143,TODOJURISTAS,TODOJURISTAS
144,TRADEDOUBLER,TRADEDOUBLER
145,TUMASTER,TUMASTER
146,TWITTER,TW
147,UDED,UDED
148,UNIDADEDIT,UNIDADEDIT
149,UNISCOPIO,UNISCOPIO
150,UNIVERSIA,UNIVERSIA
151,VERIZON,VERIZON
152,VIPDISTRICT,VIPDISTRICT
153,VOCENTO,VOCENTO
154,WEMASS,WEMASS
155,WEMASS-MS,WEMASS-MS
156,WRADIO,WRADIO
157,WUOLAH,WUOLAH
158,XANDR,XANDR
159,YAQ,YAQ
160,YOUTUBE,YT
